,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,137.5126745840007,1.0,1.0,1.0,0.0011888888888888889
1,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,134.2536312889997,1.0,1.0,1.0,0.002533333333333333
2,fp_003/simNo_1-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,139.13632091699947,1.0,1.0,1.0,0.00044444444444444447
3,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,174.50528301599934,1.0,1.0,1.0,0.0012777777777777779
4,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,173.54442601600022,1.0,1.0,1.0,0.0026333333333333334
5,fp_003/simNo_2-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,187.412706049,1.0,1.0,1.0,0.0006444444444444444
6,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,167.9181549039995,1.0,0.8923345963276013,0.5521658742736397,0.05421111111111111
7,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,166.3688006680004,1.0,0.940134071699213,0.6348388800845219,0.04901111111111111
8,fp_003/simNo_3-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,170.6687562979996,1.0,0.7555814631302827,0.8807448494453249,0.051111111111111114
9,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.1-na_0.05-d_0-l_1000000,300,300,0.03,0.1,0.05,173.79605397199975,1.0,1.0,1.0,0.001
10,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.03,0.2,0.05,162.7140949450004,1.0,1.0,1.0,0.0033333333333333335
11,fp_003/simNo_4-s_10-m_300-h_1-minVAF_0.03-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.03,0.05,0.05,179.91312607100008,1.0,1.0,1.0,0.0008111111111111111
