,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,56.9498812180027,1.0,0.9827497092647629,0.9989517367815597,0.001187308085977482
1,simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,52.18209536100039,1.0,0.9907992739563122,0.9981662487627043,0.0014972337482710926
2,simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,53.81238114900043,1.0,0.9916135204081633,0.9987659427942845,0.0008118335053319574
3,simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,50.7616214899972,1.0,0.9749979869554715,0.9983812146902454,0.000997920997920998
4,simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,49.38183029600623,1.0,0.9589867310012062,0.998961017748902,0.0010881542699724518
5,simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,51.31061524100369,1.0,0.9849909094425747,0.9989915311802331,0.0008974358974358974
6,simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,53.229120267002145,1.0,0.9766940191185179,0.9991855300285732,0.0011281526925698705
7,simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,55.38204797999788,1.0,0.9900341025725922,0.9985706258027687,0.0008943089430894309
8,simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,55.52752647300076,1.0,0.9929397091249248,0.9988252699552904,0.0014319727891156462
9,simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.001,0.05,0.05,55.326091586000985,1.0,0.9787979176526266,0.9971676069187659,0.0017400204708290685
10,simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,56.65224541499629,1.0,0.9543873465905361,0.9967417688936676,0.0022037996545768565
11,simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,53.967305829995894,1.0,0.9686350762987699,0.9976860079287161,0.003668763102725367
12,simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,52.52631743800157,1.0,0.97638326585695,0.9986215176118326,0.0016300940438871473
13,simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,50.115029136002704,1.0,0.966346350439583,0.9984175207505883,0.0018675123326286117
14,simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,53.944817058996705,1.0,0.9388713276310896,0.9984570069268007,0.0021693121693121694
15,simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,52.081877409997105,1.0,0.969544147196722,0.998034815882089,0.0020006995452955577
16,simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,52.22639608800091,1.0,0.9437521485046407,0.9979212266367189,0.0022130013831258644
17,simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,56.4404498340009,1.0,0.9695594758405851,0.9980596167626776,0.0020677731673582295
18,simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,56.736451466997096,1.0,0.9695467261024813,0.9962438608499345,0.002763385146804836
19,simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.001-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.001,0.2,0.05,54.127954704999865,1.0,0.9668801112789889,0.996164159542104,0.0024393624393624393
