,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_005/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1889.7381417269935,1.0,0.037730972993926915,0.9815941315411512,0.023370863186625724
1,fp_005/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1777.5073126960197,1.0,0.6160105151154784,0.9595796477932969,0.018858921161825727
2,fp_005/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1873.290511758998,1.0,0.15583545918367347,0.9815862025933689,0.021585827313381493
3,fp_005/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1840.6439427429868,1.0,0.2252596827441823,0.9817678523112785,0.01903326403326403
4,fp_005/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1848.5912269770051,1.0,0.017423937809945,0.9786282712061268,0.018402203856749313
5,fp_005/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1842.0937648350082,1.0,0.028780317976093817,0.9766174332961629,0.021763686763686764
6,fp_005/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1895.1762031430262,1.0,0.0630657304796548,0.9751364125935751,0.019025221540558964
7,fp_005/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1935.2200989879784,1.0,0.2689136840711187,0.9676216640502355,0.022686314363143632
8,fp_005/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1884.8230501829821,1.0,0.47462081560836544,0.9646441149514057,0.020360544217687074
9,fp_005/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.05,0.05,0.05,1850.4802617889945,1.0,0.5257217226691907,0.9421116572641457,0.02316274309109519
10,fp_005/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1868.674468694022,1.0,0.15403294611800222,0.972947372585709,0.01973747841105354
11,fp_005/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1749.907246926974,1.0,0.6925857040199518,0.9429704102302807,0.021058700209643604
12,fp_005/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1809.5736949900165,1.0,0.1555169976222608,0.9697967628203608,0.026015325670498083
13,fp_005/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1754.4349855559994,1.0,0.24121856471069314,0.9756858407609307,0.020923185341789993
14,fp_005/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1763.422870977025,1.0,0.10742841204908893,0.9826365656022078,0.016610229276895944
15,fp_005/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1795.5976786919637,1.0,0.018005594736219988,0.9773767626426058,0.022263029031129766
16,fp_005/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1824.5769671549788,1.0,0.14240288759023723,0.976833251206124,0.018385200553250346
17,fp_005/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1854.6019134120434,1.0,0.28198963870924054,0.9628814458414376,0.024221991701244814
18,fp_005/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1813.3905640739831,1.0,0.4509768245809548,0.9716056053892431,0.02033851468048359
19,fp_005/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.05,0.2,0.05,1786.006635726022,1.0,0.5839988488380459,0.9488690884167238,0.023704088704088706
