,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_005/simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,84.92403479502536,1.0,0.7595002602811036,0.9826249463343183,0.004965517241379311
1,fp_005/simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,87.02981740102405,1.0,0.9212418300653595,0.9901727073704695,0.0037346711259754737
2,fp_005/simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,81.73648412601324,1.0,0.8294440631434454,0.9829161808173116,0.004518779342723005
3,fp_005/simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,73.78775011200923,1.0,0.8386254893431927,0.9877248144887436,0.004349315068493151
4,fp_005/simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,66.66278181600501,1.0,0.8367670364500792,0.9780241390329638,0.005514541387024608
5,fp_005/simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,84.20897890400374,1.0,0.7916986933128363,0.9867069486404834,0.004587688734030197
6,fp_005/simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,73.55411694498616,1.0,0.7718148299877099,0.9871985252701111,0.004747126436781609
7,fp_005/simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,77.10342312202556,1.0,0.786472148541114,0.9836810524465869,0.005125570776255708
8,fp_005/simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,76.95306838999386,1.0,0.8525059665871122,0.991088936877901,0.004869169510807736
9,fp_005/simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.05-na_0.05-d_0-l_1000000,300,300,0.05,0.05,0.05,106.98044496201328,1.0,0.8040096785343933,0.9830990838055771,0.004180790960451978
10,fp_005/simNo_10-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,185.4272318840085,1.0,0.6371490280777538,0.9824350336862367,0.011052009456264776
11,fp_005/simNo_5-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,188.575350168976,1.0,0.8392196434577868,0.9807541141567564,0.010227531285551763
12,fp_005/simNo_1-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,227.1981125390157,1.0,0.7454931071049842,0.9723006253804859,0.010023724792408066
13,fp_005/simNo_6-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,181.83704198300256,1.0,0.7044356609574001,0.9805860426589356,0.010717592592592593
14,fp_005/simNo_2-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,230.02911969699198,1.0,0.7767741935483871,0.9779374037968189,0.010490867579908676
15,fp_005/simNo_7-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,189.58650309898076,1.0,0.719070133963751,0.9792006969399978,0.011146572104018912
16,fp_005/simNo_3-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,200.4664972750179,1.0,0.7007176023638666,0.9854624948763492,0.010142348754448399
17,fp_005/simNo_8-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,177.48008776301867,1.0,0.6850853548966757,0.9806415220122561,0.01083044982698962
18,fp_005/simNo_4-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,159.3667477830022,1.0,0.6622549019607843,0.9847051565472212,0.015092592592592593
19,fp_005/simNo_9-s_100-m_300-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.05-fn_0.2-na_0.05-d_0-l_1000000,300,300,0.05,0.2,0.05,217.613392002997,1.0,0.7355871886120997,0.9814183077479712,0.010655172413793103
