,file,n,m,fpr,fnr,mer,time,is_ptree,ad_score,dl_score,fraction_diffs
0,fp_003/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.76885748899076,1.0,0.8915880604729294,0.9839062099385336,0.002937563971340839
1,fp_003/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.512699190992862,1.0,0.9076171997246041,0.9729606813577542,0.005733056708160443
2,fp_003/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,28.28764396099723,1.0,0.8990433673469388,0.9835643916721938,0.0030615755073959408
3,fp_003/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.0433816369914,1.0,0.8739431516225139,0.9852574909290209,0.0038773388773388775
4,fp_003/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.430908269016072,1.0,0.7725505964347943,0.985442905883634,0.0028340220385674932
5,fp_003/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.157185025978833,1.0,0.864453986306139,0.9857400190565833,0.003291753291753292
6,fp_003/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.84974635799881,1.0,0.8684967430843414,0.9891092457919052,0.0026755282890252217
7,fp_003/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.961152960982872,1.0,0.8829255371982916,0.9823703082631654,0.0030589430894308943
8,fp_003/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,27.808956419001333,1.0,0.8963005857591483,0.9721274942659217,0.0060680272108843535
9,fp_003/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.05-na_0.05-d_0-l_1000000,300,1000,0.03,0.05,0.05,28.090458904014667,1.0,0.8903218173213441,0.959564505017781,0.006915728420334357
10,fp_003/simNo_10-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,27.105437685997458,1.0,0.8225372448644747,0.977283147265064,0.005713298791018998
11,fp_003/simNo_5-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,26.80577038601041,1.0,0.8885742063659805,0.972073023724011,0.009577218728162125
12,fp_003/simNo_1-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,27.46101666300092,1.0,0.8452862926547137,0.9779371639800891,0.004855451062347614
13,fp_003/simNo_6-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,26.4842154890066,1.0,0.7769372316499693,0.9807684480930048,0.007684989429175476
14,fp_003/simNo_2-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,25.780038112978218,1.0,0.5567590182223875,0.980017287237209,0.008465608465608466
15,fp_003/simNo_7-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,27.165158593008528,1.0,0.772152397462669,0.9798757587925455,0.005687303252885624
16,fp_003/simNo_3-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,26.847155859984923,1.0,0.76662942591956,0.9817219210891214,0.00549792531120332
17,fp_003/simNo_8-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,27.019067276996793,1.0,0.7972437612162666,0.9726927121625268,0.006438450899031812
18,fp_003/simNo_4-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,27.22390081200865,1.0,0.8743432873160636,0.9682745535982324,0.007744386873920553
19,fp_003/simNo_9-s_100-m_1000-h_1-minVAF_0.005-ISAV_0-n_300-fp_0.03-fn_0.2-na_0.05-d_0-l_1000000,300,1000,0.03,0.2,0.05,26.295321551006055,1.0,0.885195577619493,0.96650914469175,0.0074636174636174635
